rank,university,位置,score,logo_path,logo_url
1,麻省理工学院,美国,100,logos_cn/麻省理工学院-m.jpg,https://www.qschina.cn/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg
2,牛津大学,英国,99.5,logos_cn/牛津大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-oxford_478_small.jpg
3,斯坦福大学,美国,98.7,logos_cn/斯坦福大学-m.jpg,https://www.qschina.cn/sites/default/files/stanford-university_573_small.jpg
3,剑桥大学,英国,98.7,logos_cn/剑桥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-cambridge_95_small.jpg
5,哈佛大学,美国,98,logos_cn/哈佛大学-m.jpg,https://www.qschina.cn/sites/default/files/harvard-university_253_small.jpg
6,加州理工大学（Caltech),美国,97.4,logos_cn/加州理工大学（Caltech)-m.jpg,https://www.qschina.cn/sites/default/files/california-institute-of-technology-caltech_94_small.jpg
7,帝国理工学院,英国,97.3,logos_cn/帝国理工学院-m.jpg,https://www.qschina.cn/sites/default/files/imperial-college-london_592560cf2aeae70239af4be8_small.jpg
8,苏黎世联邦理工大学（瑞士联邦理工学院）,瑞士,95.4,logos_cn/苏黎世联邦理工大学（瑞士联邦理工学院）-m.jpg,https://www.qschina.cn/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_small.jpg
8,伦敦大学学院,英国,95.4,logos_cn/伦敦大学学院-m.jpg,https://www.qschina.cn/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg
10,芝加哥大学,美国,94.5,logos_cn/芝加哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-chicago_120_small.jpg
11,新加坡国立大学,新加坡,93.9,logos_cn/新加坡国立大学-m.jpg,https://www.qschina.cn/sites/default/files/national-university-of-singapore-nus_443_small.jpg
12,南洋理工大学,新加坡,90.8,logos_cn/南洋理工大学-m.jpg,https://www.qschina.cn/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_small.jpg
13,宾夕法尼亚大学,美国,90.7,logos_cn/宾夕法尼亚大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-pennsylvania_495_small.jpg
14,洛桑联邦理工学院（EPFL),瑞士,90.2,logos_cn/洛桑联邦理工学院（EPFL)-m.jpg,https://www.qschina.cn/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_small.jpg
14,耶鲁大学,美国,90.2,logos_cn/耶鲁大学-m.jpg,https://www.qschina.cn/sites/default/files/yale-university_684_small.jpg
16,爱丁堡大学,英国,89.9,logos_cn/爱丁堡大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-edinburgh_180_small.jpg
17,清华大学,中国(大陆),89,logos_cn/清华大学-m.jpg,https://www.qschina.cn/sites/default/files/tsinghua-university_626_small.jpg
18,北京大学,中国(大陆),88.8,logos_cn/北京大学-m.jpg,https://www.qschina.cn/sites/default/files/peking-university_50_small.jpg
19,哥伦比亚大学,美国,88.7,logos_cn/哥伦比亚大学-m.jpg,https://www.qschina.cn/sites/default/files/columbia-university_138_small.jpg
20,普林斯顿大学,美国,88.6,logos_cn/普林斯顿大学-m.jpg,https://www.qschina.cn/sites/default/files/princeton-university_508_small.jpg
21,康奈尔大学,美国,88.3,logos_cn/康奈尔大学-m.jpg,https://www.qschina.cn/sites/default/files/cornell-university_143_small.jpg
22,香港大学（HKU）,香港,86.3,logos_cn/香港大学（HKU）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-hong-kong_268_small.jpg
23,东京大学,日本,86.2,logos_cn/东京大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-tokyo_615_small.jpg
23,密歇根大学,美国,86.2,logos_cn/密歇根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-michigan_403_small.jpg
25,约翰霍普金斯大学,美国,85.9,logos_cn/约翰霍普金斯大学-m.jpg,https://www.qschina.cn/sites/default/files/johns-hopkins-university_305_small.jpg
26,多伦多大学,加拿大,85.3,logos_cn/多伦多大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-toronto_619_small.jpg
27,麦吉尔大学,加拿大,84,logos_cn/麦吉尔大学-m.jpg,https://www.qschina.cn/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small.jpg
27,澳大利亚国立大学（ANU),澳大利亚,84,logos_cn/澳大利亚国立大学（ANU)-m.jpg,https://www.qschina.cn/sites/default/files/the-australian-national-university_40_small.jpg
27,曼彻斯特大学,英国,84,logos_cn/曼彻斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-manchester_389_small.jpg
30,西北大学,美国,82.8,logos_cn/西北大学-m.jpg,https://www.qschina.cn/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg
31,复旦大学,中国(大陆),82.6,logos_cn/复旦大学-m.jpg,https://www.qschina.cn/sites/default/files/fudan-university_218_small.jpg
32,加州大学伯克利分校,美国,82.5,logos_cn/加州大学伯克利分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg
33,京都大学,日本,82.3,logos_cn/京都大学-m.jpg,https://www.qschina.cn/sites/default/files/kyoto-university_328_small.jpg
34,香港科技大学（HKUST),香港,82.2,logos_cn/香港科技大学（HKUST)-m.jpg,https://www.qschina.cn/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg
35,伦敦国王学院,英国,82,logos_cn/伦敦国王学院-m.jpg,https://www.qschina.cn/sites/default/files/kings-college-london_357_small.jpg
36,首尔国立大学,韩国,81.7,logos_cn/首尔国立大学-m.jpg,https://www.qschina.cn/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg
37,墨尔本大学,澳大利亚,81.4,logos_cn/墨尔本大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-melbourne_399_small.jpg
38,悉尼大学,澳大利亚,80.4,logos_cn/悉尼大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg
39,香港中文大学,香港,80.3,logos_cn/香港中文大学-m.jpg,https://www.qschina.cn/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg
40,加州大学洛杉矶分校,美国,79.7,logos_cn/加州大学洛杉矶分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg
41,韩国科学技术研究所,韩国,79.1,logos_cn/韩国科学技术研究所-m.jpg,https://www.qschina.cn/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg
42,纽约大学（NYU）,美国,78.9,logos_cn/纽约大学（NYU）-m.jpg,https://www.qschina.cn/sites/default/files/new-york-university-nyu_448_small.jpg
43,新南威尔士大学（UNSW）,澳大利亚,77.7,logos_cn/新南威尔士大学（UNSW）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg
44,巴黎科学艺术人文大学,法国,77.6,logos_cn/巴黎科学艺术人文大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg
45,浙江大学,中国(大陆),77.4,logos_cn/浙江大学-m.jpg,https://www.qschina.cn/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg
46,不列颠哥伦比亚大学,加拿大,77.1,logos_cn/不列颠哥伦比亚大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-british-columbia_70_small.jpg
47,昆士兰大学（UQ）,澳大利亚,76.6,logos_cn/昆士兰大学（UQ）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-queensland_515_small.jpg
48,加州大学圣地亚哥分校,美国,76.1,logos_cn/加州大学圣地亚哥分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg
49,巴黎理工学院,法国,75.9,logos_cn/巴黎理工学院-m.jpg,https://www.qschina.cn/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg
49,伦敦经济政治学院,英国,75.8,logos_cn/伦敦经济政治学院-m.jpg,https://www.qschina.cn/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg
50,上海交通大学,中国(大陆),75.6,logos_cn/上海交通大学-m.jpg,https://www.qschina.cn/sites/default/files/shanghai-jiao-tong-university_556_small.jpg
50,慕尼黑工业大学,德国,75.6,logos_cn/慕尼黑工业大学-m.jpg,https://www.qschina.cn/sites/default/files/technical-university-of-munich_599_small.jpg
52,杜克大学,美国,75.2,logos_cn/杜克大学-m.jpg,https://www.qschina.cn/sites/default/files/duke-university_168_small.jpg
53,卡内基梅隆大学,美国,74.6,logos_cn/卡内基梅隆大学-m.jpg,https://www.qschina.cn/sites/default/files/carnegie-mellon-university_101_small.jpg
53,香港城市大学,香港,74.6,logos_cn/香港城市大学-m.jpg,https://www.qschina.cn/sites/default/files/city-university-of-hong-kong_592560cf2aeae70239af4b05_small.jpg
