rank,university,位置,score,logo_path,logo_url
1,哈佛大学,美国,98.5,logos_cn/哈佛大学-m.jpg,https://www.qschina.cn/sites/default/files/harvard-university_253_small.jpg
2,牛津大学,英国,96.5,logos_cn/牛津大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-oxford_478_small.jpg
3,剑桥大学EDIT,英国,96.3,logos_cn/剑桥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-cambridge_95_small.jpg
4,耶鲁大学,美国,91.7,logos_cn/耶鲁大学-m.jpg,https://www.qschina.cn/sites/default/files/yale-university_684_small.jpg
5,伦敦经济政治学院,英国,91.5,logos_cn/伦敦经济政治学院-m.jpg,https://www.qschina.cn/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg
6,哥伦比亚大学,美国,91.2,logos_cn/哥伦比亚大学-m.jpg,https://www.qschina.cn/sites/default/files/columbia-university_138_small.jpg
7,斯坦福大学,美国,90.4,logos_cn/斯坦福大学-m.jpg,https://www.qschina.cn/sites/default/files/stanford-university_573_small.jpg
8,加州大学伯克利分校,美国,90,logos_cn/加州大学伯克利分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg
9,普林斯顿大学,美国,89.5,logos_cn/普林斯顿大学-m.jpg,https://www.qschina.cn/sites/default/files/princeton-university_508_small.jpg
10,加州大学洛杉矶分校,美国,87.3,logos_cn/加州大学洛杉矶分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg
11,芝加哥大学,美国,86.6,logos_cn/芝加哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-chicago_120_small.jpg
12,密歇根大学,美国,85.5,logos_cn/密歇根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-michigan_403_small.jpg
13,多伦多大学,加拿大,84.9,logos_cn/多伦多大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-toronto_619_small.jpg
14,伦敦国王学院,英国,84.2,logos_cn/伦敦国王学院-m.jpg,https://www.qschina.cn/sites/default/files/kings-college-london_357_small.jpg
15,莱顿大学,荷兰,84,logos_cn/莱顿大学-m.jpg,https://www.qschina.cn/sites/default/files/leiden-university_340_small.jpg
15,新加坡国立大学,新加坡,84,logos_cn/新加坡国立大学-m.jpg,https://www.qschina.cn/sites/default/files/national-university-of-singapore-nus_443_small.jpg
17,澳大利亚国立大学（ANU),澳大利亚,83.8,logos_cn/澳大利亚国立大学（ANU)-m.jpg,https://www.qschina.cn/sites/default/files/the-australian-national-university_40_small.jpg
18,康奈尔大学,美国,82.6,logos_cn/康奈尔大学-m.jpg,https://www.qschina.cn/sites/default/files/cornell-university_143_small.jpg
19,伦敦大学学院,英国,82.5,logos_cn/伦敦大学学院-m.jpg,https://www.qschina.cn/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg
19,爱丁堡大学,英国,82.5,logos_cn/爱丁堡大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-edinburgh_180_small.jpg
21,约翰霍普金斯大学,美国,82.2,logos_cn/约翰霍普金斯大学-m.jpg,https://www.qschina.cn/sites/default/files/johns-hopkins-university_305_small.jpg
