rank,university,位置,score,logo_path,logo_url
1,纽约大学（NYU）,美国,98.3,logos_cn/纽约大学（NYU）-m.jpg,https://www.qschina.cn/sites/default/files/new-york-university-nyu_448_small.jpg
2,罗格斯大学 - 新泽西州立大学新不伦瑞克分校,美国,95.1,logos_cn/罗格斯大学 - 新泽西州立大学新不伦瑞克分校-m.jpg,https://www.qschina.cn/sites/default/files/rutgers-university-new-brunswick_538_small.jpg
3,匹兹堡大学,美国,90.5,logos_cn/匹兹堡大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-pittsburgh_500_small.jpg
4,牛津大学,英国,89,logos_cn/牛津大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-oxford_478_small.jpg
5,澳大利亚国立大学（ANU),澳大利亚,88.5,logos_cn/澳大利亚国立大学（ANU)-m.jpg,https://www.qschina.cn/sites/default/files/the-australian-national-university_40_small.jpg
6,伦敦经济政治学院,英国,88,logos_cn/伦敦经济政治学院-m.jpg,https://www.qschina.cn/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg
7,剑桥大学,英国,85.7,logos_cn/剑桥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-cambridge_95_small.jpg
8,哈佛大学,美国,85.1,logos_cn/哈佛大学-m.jpg,https://www.qschina.cn/sites/default/files/harvard-university_253_small.jpg
9,伦敦国王学院,英国,84.4,logos_cn/伦敦国王学院-m.jpg,https://www.qschina.cn/sites/default/files/kings-college-london_357_small.jpg
10,普林斯顿大学,美国,83.4,logos_cn/普林斯顿大学-m.jpg,https://www.qschina.cn/sites/default/files/princeton-university_508_small.jpg
11,圣安德鲁斯大学,英国,82.6,logos_cn/圣安德鲁斯大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-st-andrews_570_small.jpg
11,多伦多大学,加拿大,82.6,logos_cn/多伦多大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-toronto_619_small.jpg
13,圣母大学,美国,82.5,logos_cn/圣母大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-notre-dame_458_small.jpg
14,柏林洪堡大学,德国,82.3,logos_cn/柏林洪堡大学-m.jpg,https://www.qschina.cn/sites/default/files/humboldt-universitt-zu-berlin_272_small.jpg
15,路德维希 - 马克西米利安 - 慕尼黑大学,德国,82.2,logos_cn/路德维希 - 马克西米利安 - 慕尼黑大学-m.jpg,https://www.qschina.cn/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg
16,耶鲁大学,美国,80.8,logos_cn/耶鲁大学-m.jpg,https://www.qschina.cn/sites/default/files/yale-university_684_small.jpg
17,加州大学伯克利分校,美国,80.2,logos_cn/加州大学伯克利分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg
18,斯坦福大学,美国,79,logos_cn/斯坦福大学-m.jpg,https://www.qschina.cn/sites/default/files/stanford-university_573_small.jpg
19,法兰克福大学,德国,78.7,logos_cn/法兰克福大学-m.jpg,https://www.qschina.cn/sites/default/files/universitt-frankfurt-am-main_214_small.jpg
20,爱丁堡大学,英国,76.7,logos_cn/爱丁堡大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-edinburgh_180_small.jpg
21,Université PSL,法国,75.7,logos_cn/Université PSL-m.jpg,https://www.qschina.cn/sites/default/files/universit-psl_592560e69988f300e2321dfe_small.jpg
22,伦敦大学学院,英国,75.3,logos_cn/伦敦大学学院-m.jpg,https://www.qschina.cn/sites/default/files/ucl_592560cf2aeae70239af4bf1_small.jpg
23,麦考瑞大学,澳大利亚,75.2,logos_cn/麦考瑞大学-m.jpg,https://www.qschina.cn/sites/default/files/macquarie-university_378_small.jpg
24,芝加哥大学,美国,74.4,logos_cn/芝加哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-chicago_120_small.jpg
25,哥伦比亚大学,美国,74.1,logos_cn/哥伦比亚大学-m.jpg,https://www.qschina.cn/sites/default/files/columbia-university_138_small.jpg
26,悉尼大学,澳大利亚,73.5,logos_cn/悉尼大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg
27,巴黎第一大学,法国,72.9,logos_cn/巴黎第一大学-m.jpg,https://www.qschina.cn/sites/default/files/universit-paris-1-panthon-sorbonne_482_small.jpg
28,香港中文大学,香港,72.8,logos_cn/香港中文大学-m.jpg,https://www.qschina.cn/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg
29,蒙纳士大学,澳大利亚,72.1,logos_cn/蒙纳士大学-m.jpg,https://www.qschina.cn/sites/default/files/monash-university_412_small.jpg
30,布里斯托大学,英国,70.1,logos_cn/布里斯托大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-bristol_69_small.jpg
31,复旦大学,中国(大陆),69.9,logos_cn/复旦大学-m.jpg,https://www.qschina.cn/sites/default/files/fudan-university_218_small.jpg
32,赫尔辛基大学,芬兰,69.6,logos_cn/赫尔辛基大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-helsinki_260_small.jpg
33,鲁汶大学,比利时,69.2,logos_cn/鲁汶大学-m.jpg,https://www.qschina.cn/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg
33,南加州大学,美国,69.2,logos_cn/南加州大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-southern-california_569_small.jpg
35,中欧大学,匈牙利,69.1,logos_cn/中欧大学-m.jpg,https://www.qschina.cn/sites/default/files/central-european-university_592560cf2aeae70239af4af3_small.jpg
36,柏林自由大学,德国,68.9,logos_cn/柏林自由大学-m.jpg,https://www.qschina.cn/sites/default/files/freie-universitaet-berlin_215_small.jpg
37,奥斯陆大学,挪威,68.1,logos_cn/奥斯陆大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-oslo_473_small.jpg
38,哥本哈根大学,丹麦,67.8,logos_cn/哥本哈根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-copenhagen_141_small.jpg
39,波士顿学院,美国,67.3,logos_cn/波士顿学院-m.jpg,https://www.qschina.cn/sites/default/files/boston-college_723_small.jpg
40,中国人民大学,中国(大陆),66.2,logos_cn/中国人民大学-m.jpg,https://www.qschina.cn/sites/default/files/renmin-peoples-university-of-china_884_small.jpg
